,Projects,Unit in charge,Expected Activities ,Allocated Budget,Total Spended Budget,KPI, Total Actual Performance,Targeted Performance,Activities performed,Department,Cost,Level of Achievement by Dep.
1,إتاحة وتوسيع نطاق موارد التعلم الإلكتروني ومصادر التعلم الإلكتروني ,الاستاذة افنان الشهري,,0,0,G,60.0,,,d,,12.0
2,إتاحة وتوسيع نطاق موارد التعلم الإلكتروني ومصادر التعلم الإلكتروني ,الاستاذة افنان الشهري,,0,0,T,20.0,,,ed,,123.0
3,إتاحة وتوسيع نطاق موارد التعلم الإلكتروني ومصادر التعلم الإلكتروني ,الاستاذة افنان الشهري,,0,0,b,60.0,,,as,,12.0
4,إتاحة وتوسيع نطاق موارد التعلم الإلكتروني ومصادر التعلم الإلكتروني ,,,,,c,100.0,,,,,
5,إتاحة وتوسيع نطاق موارد التعلم الإلكتروني ومصادر التعلم الإلكتروني ,,,,,d,80.0,,,,,
6,إتاحة وتوسيع نطاق موارد التعلم الإلكتروني ومصادر التعلم الإلكتروني ,الاستاذة افنان الشهري,,0,0,رضا المستفيدين عن مصادر التعلم,40.0,,,,,
7,إتاحة وتوسيع نطاق موارد التعلم الإلكتروني ومصادر التعلم الإلكتروني ,,,,,,,,,,,
8,إطلاق ودعم البوابة الرقمية للجامعة ,,,,,"رضا المستفيدين عن الخدمات التقنية
",,,,,,
9,إطلاق ودعم البوابة الرقمية للجامعة ,الاستاذ يزيد ال قحاص,,50000,,عدد الخدمات الالكترونية المقدمة ,,,,,,
10,الاستثمار في البحث والابتكار وريادة الاعمال,وحدة البحث والابتكار,,,,,,,,,,
11,التقييم المستمر لاحتياجات سوق العمل وانشاء مناهج أكثر استجابة ,وحدة المناهج ,,,,,,,,,,
12,الشراكة مع المستشفيات تدريبيه زائدة لتبادل منفع مشتركة ,وحدة التعاون والتدريب الاكلينيكي,,350000,,"عدد الأنشطة اللاصفية




",,,,,,
13,الشراكة مع المستشفيات تدريبيه زائدة لتبادل منفع مشتركة ,,,,,عدد البرامج المشتركة المنفذة,,,,,,
14,الشراكة مع المستشفيات تدريبيه زائدة لتبادل منفع مشتركة ,,,,,عدد الشراكات المبرمة مع المستشفيات التدريبية,,,,,,
15,الشراكة مع المستشفيات تدريبيه زائدة لتبادل منفع مشتركة ,,,,,عدد المقاعد التدريبية المتاحة للتدريب,,,,,,
16,الشراكة مع المستشفيات تدريبيه زائدة لتبادل منفع مشتركة ,,,,,معدل رضا الطلاب والمستفيدين,,,,,,
17,المحاكاة والمدينة الخضراء,وحدة المحاكاة والتصنيف المهني ,,550,,رضا الطلاب عن الخدمات المقدمة ,,,,,,
18,المحاكاة والمدينة الخضراء,,,,,عدد مهارات الطلاب وتحسين مستوى الأداء بالمحاكاة,,,,,,
19,ان تكون الجامعة معروفة بنجاحاتها في برنامج المسؤولية الاجتماعية,وحدة الخدمة المجتمعية والانشطة الطلابية ,B,,0,CA,20.0,,C,Nurse,,
20,ان تكون الجامعة معروفة بنجاحاتها في برنامج المسؤولية الاجتماعية,,,,,CB,11.0,,CD,Respiratory,,
21,ان تكون الجامعة معروفة بنجاحاتها في برنامج المسؤولية الاجتماعية,,,,,,,,E,CS,,
22,ان تكون الجامعة معروفة بنجاحاتها في برنامج المسؤولية الاجتماعية,,,,,,,,VD,Respiratory,,
23,ان تكون الجامعة معروفة بنجاحاتها في برنامج المسؤولية الاجتماعية,,,,,,,,G,EMS,,
24,ان تكون الجامعة معروفة بنجاحاتها في برنامج المسؤولية الاجتماعية,,,,,,,,AD,Information Technology,,
25,ان تكون الجامعة معروفة بنجاحاتها في برنامج المسؤولية الاجتماعية,,,,,,,,WE,Health Information System,,
26,تحسين الحضور الجامعي الدولي ,البحث والابتكار ,C,,,CA,20.0,,d,CS,,
27,تحسين الحضور الجامعي الدولي ,,,,,CB,34.0,,cv,Information Technology,,
28,تحسين الحضور الجامعي الدولي ,,,,,,,,gf,CS,,
29,تحسين الحضور الجامعي الدولي ,,,,,,,,fed,Information Technology,,
30,تحسين الحضور الجامعي الدولي ,,,,,,,,de,Information Technology,,
31,تحسين الحضور الجامعي الدولي ,,,,,,,,WE,CS,,
32,تحسين الحضور الجامعي الدولي ,,,,,,,,ef,Health Information System,,
33,تحسين جودة الانتاج العلمي لأعضاء هيئة التدريس ونشره,,,,,النسبة المئوية للنشر العلمي لاعضاء هيئة التدريس,,,,,,
34,تحسين جودة الانتاج العلمي لأعضاء هيئة التدريس ونشره,,,,,معدل الاقتباسات في المجالات المحكمه  لكل عضو هيئة تدريس,,,,,,
35,تحسين جودة الانتاج العلمي لأعضاء هيئة التدريس ونشره,وحدة البحث والابتكار,,5000000,,"معدل البحوث المنشورة لكل عضو هيئة تدريس
",,,,,,
36,تحسين جودة الانتاج العلمي لأعضاء هيئة التدريس ونشره,,,,,نسبة التمويل الخارجي للبحوث,,,,,,
37,تحسين جودة الانتاج العلمي لأعضاء هيئة التدريس ونشره,,,,,نسبة الطلاب المشاركين في البحث العلمي,,,,,,
38,تحسين جودة الانتاج العلمي لأعضاء هيئة التدريس ونشره,,,,,نسبة الميزانية المخصصة للبحث العلمي  ,,,,,,
39,تشجيع ودعم الانشطة اللامنهجية والنوادي الطلابية ,وحدة الخدمة المجتمعية والانشطة الطلابية ,E,590500,,"رضا الطلاب عن الأنشطة اللاصفية

 ",,,,,,
40,تشجيع ودعم الانشطة اللامنهجية والنوادي الطلابية ,,,,,عدد الأنشطة اللاصفية,,,,,,
41,تطبيق برامج علمية معتمدة ومبتكرة,وحدة المناهج ,,450000,,"1-graduates employability and enrolment in postgraduate.


",,,,,,
42,تطبيق برامج علمية معتمدة ومبتكرة,,,,,2-the percentage of updated curricula at the end of the project,,,,,,
43,تطبيق برامج علمية معتمدة ومبتكرة,,,,,3-students evaluation of the quality of the courses.,,,,,,
44,تعزيز التواصل الداخلي والخارجي,الاستاذ احمد النغيمش,,,,,,,,,,
45,تعزيز الكفاءة المؤسسية ,د. نسرين عناب,,50000,,معدل رضى المستفيدين,,,,,,
46,تعزيز الكفاءة المؤسسية ,,,,,نسبة الإلتزام المالي (الإنحرافات المالية للموازنة)  ,,,,,,
47,تقديم برامج تمويل تعليم للطلبة,,,,,عدد الجهات المانحة,,,,,,
48,تقديم برامج تمويل تعليم للطلبة,د. منصور الراجح,,50,,"نسبة الطلبة الحاصلين على منح دراسية من خارج الجامعة
",,,,,,
49,تقديم رخص مهنية معتمدة للخرجين,,,,,مستوى اداء الطلبة في الاختبارات الشاملة (فصلي),,,,,,
50,تقديم رخص مهنية معتمدة للخرجين,وحدة المحاكاة والتصنيف المهني ,D,1100000,,"مستوى ادار الطلبة في الاختبارات المهنية (شهري )
",,,,,,
51,تقديم رخص مهنية معتمدة للخرجين,,,,,نسبة تخرج طلاب البكالوريوس في المدة المحددة (فصلي),,,,,,
52,تقديم شهادات مهنية احترافية لتلبية احتيجات متطلبات سوق العمل المحددة ,د. منصور الراجح,,,,,,,,,,
53,تقيم وتحسين مخرجات التعلم ,,,,,AB,42.0,,D,CS,,
54,تقيم وتحسين مخرجات التعلم ,وحدة المناهج ,A,200000,0,employer satyisfaction sarveys,,,A,CS,,
55,تقيم وتحسين مخرجات التعلم ,,,,,gradution  rates,,,B,Nurse,,
56,تقيم وتحسين مخرجات التعلم ,,,,,prcentage of graduates pass rate in professional licencing exams,,,C,EMS,,
57,تقيم وتحسين مخرجات التعلم ,,,,,,,,E,Respiratory,,
58,تقيم وتحسين مخرجات التعلم ,,,,,,,,F,Health Information System,,
59,تقيم وتحسين مخرجات التعلم ,,,,,,,,A,Information Technology,,
60,دعم التعاون و التبادل المعرفي الداخلي والخارجي ,د. فيص الغياض,,,,,,,,,,
61,زيادة وتحسين الاعتماد المؤسسي والبرامجي,وحدة الجودة,,,,,,,,,,
62,وضع خطط استراتيجية شخصية لمنسوبي الجامعة ,د. نازك زكري,,400000,,نسبة  أعضاء هيئة التدريس والموظفين الإداريين الذين أتموا إعداد خطط التطوير الشخصية ,,,,,,
63,وضع خطط استراتيجية شخصية لمنسوبي الجامعة ,,,,,نسبة الإنجاز في تنفيذ الخطط الشخصية للتطوير,,,,,,
